job_name,result,crab.isderef.not.solve,crab.isderef.solve,bmc_time,bmc_solve_time,crab_time,seahorn_total_time
byte_buf_eq_c_str,TRUE,0,11,0.12,0.09,0.02,0.13
byte_buf_from_array,TRUE,0,0,0.06,0.04,0.01,0.06
byte_buf_eq_c_str_ignore_case,TRUE,0,11,0.12,0.09,0.02,0.13
byte_buf_from_empty_array,TRUE,0,0,0.06,0.04,0.01,0.06
array_list_shrink_to_fit,TRUE,6,5,2.18,2.11,0.05,2.19
byte_buf_from_c_str,TRUE,0,33,0.35,0.3,0.03,0.37
byte_buf_init,TRUE,0,0,0.05,0.02,0.02,0.06
byte_buf_cat,TRUE,12,10,1.17,0.83,0.27,1.2
byte_buf_reserve,TRUE,0,4,0.07,0.02,0.02,0.08
byte_buf_init_copy_from_cursor,TRUE,2,2,0.13,0.07,0.03,0.14
byte_buf_reserve_relative,TRUE,0,4,0.08,0.03,0.04,0.09
byte_buf_secure_zero,TRUE,0,2,0.11,0.08,0.02,0.12
byte_buf_reset,TRUE,0,2,0.18,0.16,0.01,0.19
byte_buf_write,TRUE,4,3,0.21,0.13,0.05,0.22
byte_buf_write_be16,TRUE,2,3,0.08,0.04,0.03,0.09
byte_buf_eq_ignore_case,TRUE,4,24,1.36,1.17,0.13,1.38
byte_buf_write_be32,TRUE,2,3,0.09,0.04,0.04,0.1
array_list_comparator_string,TRUE,24,33,4.83,4.59,0.16,4.85
byte_buf_write_be64,TRUE,2,3,0.08,0.04,0.03,0.09
byte_buf_eq,TRUE,4,48,1.73,1.53,0.15,1.76
byte_buf_write_from_whole_buffer,TRUE,6,4,0.32,0.18,0.09,0.34
byte_buf_write_from_whole_cursor,TRUE,6,4,0.26,0.16,0.07,0.28
byte_buf_write_u8,TRUE,2,3,0.14,0.09,0.03,0.15
byte_cursor_advance,TRUE,2,1,0.11,0.07,0.03,0.12
byte_buf_init_copy,TRUE,4,5,1.24,1.13,0.06,1.26
byte_cursor_advance_nospec,TRUE,2,1,0.17,0.13,0.02,0.18
byte_cursor_eq_c_str,TRUE,0,11,0.1,0.08,0.02,0.11
byte_cursor_eq_c_str_ignore_case,TRUE,0,11,0.09,0.06,0.01,0.09
byte_cursor_from_array,TRUE,0,0,0.03,0.01,0.01,0.03
byte_cursor_from_buf,TRUE,2,1,0.07,0.03,0.03,0.08
byte_cursor_compare_lexical,TRUE,4,14,0.72,0.62,0.07,0.73
byte_cursor_eq_byte_buf,TRUE,4,14,0.45,0.34,0.09,0.48
byte_cursor_eq,TRUE,4,14,0.73,0.64,0.06,0.74
byte_cursor_from_string,TRUE,2,11,0.06,0.03,0.02,0.06
byte_cursor_left_trim_pred,TRUE,2,1,0.07,0.03,0.04,0.07
byte_cursor_from_c_str,TRUE,0,33,0.23,0.18,0.03,0.24
byte_cursor_read_be16,TRUE,2,1,0.1,0.06,0.02,0.1
byte_cursor_eq_byte_buf_ignore_case,TRUE,4,12,1.05,0.91,0.09,1.06
byte_cursor_read_be32,TRUE,2,1,0.11,0.07,0.02,0.12
byte_cursor_compare_lookup,TRUE,64,68,1.43,1.14,0.2,1.46
byte_cursor_eq_ignore_case,TRUE,4,12,1.11,1.01,0.06,1.13
byte_cursor_read,TRUE,4,3,0.29,0.24,0.03,0.3
byte_cursor_read_and_fill_buffer,TRUE,4,4,0.36,0.28,0.04,0.36
byte_cursor_read_be64,TRUE,2,1,0.15,0.1,0.03,0.17
byte_cursor_right_trim_pred,TRUE,2,12,0.08,0.03,0.04,0.09
byte_cursor_read_u8,TRUE,2,3,0.14,0.09,0.03,0.15
hash_ptr,TRUE,0,0,0.02,0.01,0.01,0.02
byte_cursor_satisfies_pred,TRUE,2,1,0.06,0.03,0.03,0.08
byte_cursor_trim_pred,TRUE,12,2,0.28,0.18,0.07,0.29
hash_byte_cursor_ptr_ignore_case,TRUE,0,0,0.04,0.02,0.01,0.04
hash_array_ignore_case,TRUE,9,2,0.05,0.03,0.02,0.06
hash_string,TRUE,24,6,0.3,0.24,0.04,0.31
byte_buf_write_from_whole_string,TRUE,26,4,2.73,2.59,0.06,2.75
hash_callback_string_destroy,TRUE,1,7,0.06,0.04,0.01,0.06
hash_byte_cursor_ptr,TRUE,0,21,0.28,0.23,0.03,0.29
hash_c_string,TRUE,3,54,0.63,0.57,0.04,0.64
hash_table_get_entry_count,TRUE,0,48,0.16,0.07,0.06,0.18
hash_table_move,TRUE,0,46,0.18,0.07,0.05,0.19
hash_iter_done,TRUE,6,82,0.62,0.21,0.27,0.66
hash_iter_begin,TRUE,34,74,1.56,0.98,0.42,1.61
hash_iter_next,TRUE,15,82,1.62,1.06,0.39,1.67
hash_table_swap,TRUE,0,92,0.99,0.72,0.16,1.03
hash_table_clean_up,TRUE,41,107,0.93,0.44,0.34,0.98
hash_iter_begin_done,TRUE,66,109,2.04,1.24,0.57,2.11
hash_table_clear,TRUE,41,130,1.07,0.57,0.34,1.12
hash_table_init_unbounded,TRUE,24,0,1.92,1.79,0.05,1.93
hash_callback_string_eq,TRUE,36,41,4.68,4.38,0.22,4.7
hash_table_init_bounded,TRUE,27,0,2.94,2.78,0.06,2.95
hash_callback_c_str_eq,TRUE,0,82,6.23,6.09,0.09,6.24
linked_list_back,TRUE,6,15,1.03,0.87,0.09,1.05
linked_list_begin,TRUE,6,15,0.94,0.79,0.09,0.97
linked_list_init,TRUE,0,0,0.02,0.01,0.01,0.02
linked_list_remove,TRUE,0,0,0.01,0.01,0.01,0.02
linked_list_end,TRUE,6,15,0.93,0.77,0.09,0.96
linked_list_prev,TRUE,0,0,0.02,0.01,0.01,0.03
array_list_swap,TRUE,24,4,14.07,13.99,0.05,14.08
linked_list_front,TRUE,10,23,1.14,0.95,0.12,1.17
linked_list_next,TRUE,0,0,0.02,0.01,0.01,0.03
linked_list_node_reset,TRUE,0,2,0.1,0.09,0.01,0.11
linked_list_pop_back,TRUE,32,22,1.84,1.53,0.18,1.87
hash_table_find,TRUE,69,111,6.95,6.14,0.57,7.02
linked_list_pop_front,TRUE,32,22,2.03,1.71,0.19,2.06
linked_list_push_back,TRUE,16,22,0.94,0.72,0.14,0.97
linked_list_insert_before,TRUE,0,0,0.02,0.01,0.01,0.03
linked_list_insert_after,TRUE,0,0,0.01,0.01,0.01,0.02
hash_table_create,TRUE,109,87,8.34,7.19,0.66,8.43
string_bytes,TRUE,2,7,0.11,0.09,0.01,0.12
hash_table_put,TRUE,93,89,7.3,6.19,0.68,7.38
linked_list_push_front,TRUE,21,22,1.85,1.56,0.17,1.88
linked_list_rbegin,TRUE,10,23,0.68,0.52,0.11,0.7
linked_list_rend,TRUE,6,17,0.92,0.76,0.1,0.95
string_eq_byte_buf,TRUE,23,20,2.08,1.95,0.09,2.1
string_eq_byte_cursor,TRUE,24,20,1.91,1.81,0.06,1.93
string_eq_byte_buf_ignore_case,TRUE,21,15,2,1.86,0.08,2.02
string_compare,TRUE,43,6,3.75,3.63,0.07,3.76
string_eq,TRUE,47,6,3.29,3.19,0.06,3.3
string_eq_c_str,TRUE,10,54,2.37,2.28,0.06,2.39
string_new_from_array,TRUE,0,20,0.71,0.66,0.03,0.72
string_new_from_c_str,TRUE,0,53,0.22,0.15,0.05,0.24
string_eq_byte_cursor_ignore_case,TRUE,21,27,3.75,3.6,0.08,3.77
string_destroy,TRUE,2,3,0.08,0.06,0.01,0.08
string_new_from_string,TRUE,16,20,0.5,0.43,0.03,0.51
string_destroy_secure,TRUE,2,7,0.1,0.07,0.01,0.11
string_eq_ignore_case,TRUE,52,6,1.98,1.77,0.11,2.01
string_eq_c_str_ignore_case,TRUE,9,54,2.44,2.33,0.06,2.46
priority_queue_init_static,TRUE,0,0,0.42,0.39,0.02,0.43
priority_queue_size,TRUE,0,6,0.62,0.48,0.1,0.64
priority_queue_init_dynamic,TRUE,0,0,0.38,0.34,0.03,0.39
priority_queue_clean_up,TRUE,0,1,0.06,0.01,0.04,0.07
priority_queue_capacity,TRUE,0,6,0.61,0.48,0.1,0.64
priority_queue_top,TRUE,0,6,0.62,0.49,0.1,0.65
ring_buffer_clean_up,TRUE,0,0,0.13,0.1,0.02,0.14
ring_buffer_init,TRUE,0,0,0.31,0.28,0.02,0.32
array_eq_c_str_ignore_case2,TRUE,0,11,0.11,0.08,0.01,0.11
hash_table_foreach,TRUE,0,75,15.15,12.66,0.54,15.25
array_list_back2,TRUE,2,2,0.24,0.19,0.03,0.25
array_list_capacity2,TRUE,0,0,0.22,0.19,0.02,0.23
array_eq_c_str2,TRUE,0,51,0.73,0.65,0.05,0.74
array_eq_ignore_case2,TRUE,0,22,0.63,0.55,0.05,0.65
array_eq2,TRUE,0,46,1.17,1.08,0.07,1.19
array_list_front2,TRUE,2,2,0.25,0.21,0.03,0.26
array_list_get_at_ptr2,TRUE,0,0,0.25,0.21,0.03,0.26
array_list_get_at2,TRUE,2,2,0.46,0.41,0.03,0.47
array_list_init_static2,TRUE,0,0,0.37,0.34,0.02,0.38
array_list_ensure_capacity2,TRUE,0,4,0.83,0.78,0.04,0.84
array_list_length2,TRUE,0,0,0.23,0.2,0.02,0.24
array_list_push_back2,TRUE,2,6,0.28,0.22,0.04,0.29
array_list_sort2,TRUE,0,0,0.2,0.17,0.03,0.21
array_list_pop_back2,TRUE,0,0,0.63,0.59,0.03,0.64
byte_buf_advance2,TRUE,0,0,0.11,0.05,0.05,0.12
array_list_pop_front2,TRUE,4,0,0.85,0.8,0.03,0.86
byte_buf_append2,TRUE,2,2,0.09,0.04,0.04,0.1
linked_list_swap_contents,TRUE,37,95,10,8.61,0.53,10.13
byte_buf_append_with_lookup2,TRUE,20,0,0.19,0.09,0.06,0.21
byte_buf_eq_c_str2,TRUE,0,11,0.12,0.09,0.02,0.13
byte_buf_append_dynamic2,TRUE,6,6,0.3,0.22,0.06,0.31
byte_buf_eq_c_str_ignore_case2,TRUE,0,11,0.12,0.09,0.02,0.13
byte_buf_eq2,TRUE,0,46,1.23,1.09,0.11,1.26
array_list_set_at2,TRUE,2,6,1.42,1.33,0.04,1.44
array_list_shrink_to_fit2,TRUE,6,2,1.49,1.44,0.03,1.51
byte_buf_cat2,TRUE,6,6,0.93,0.69,0.16,0.95
byte_buf_write_be162,TRUE,0,2,0.06,0.03,0.03,0.07
byte_buf_write_be322,TRUE,0,2,0.06,0.02,0.03,0.06
byte_buf_write2,TRUE,2,3,0.15,0.1,0.03,0.16
array_list_clear2,TRUE,0,0,0.6,0.56,0.02,0.61
hash_iter_delete,TRUE,11,78,21.11,20.42,0.39,21.15
byte_buf_eq_ignore_case2,TRUE,0,22,0.7,0.57,0.07,0.72
byte_buf_write_be642,TRUE,0,3,0.07,0.04,0.03,0.08
byte_buf_init_copy2,TRUE,2,5,1.04,0.94,0.06,1.05
byte_buf_write_from_whole_cursor2,TRUE,2,2,0.16,0.09,0.04,0.17
byte_buf_write_from_whole_buffer2,TRUE,2,2,0.18,0.11,0.05,0.2
hash_table_remove,TRUE,51,105,18.39,17.36,0.57,18.45
byte_cursor_advance2,TRUE,0,0,0.06,0.03,0.02,0.06
byte_buf_write_u82,TRUE,0,2,0.13,0.09,0.03,0.14
byte_cursor_read2,TRUE,2,2,0.16,0.11,0.03,0.17
byte_cursor_read_u8_2,TRUE,2,2,0.1,0.06,0.02,0.11
array_list_pop_front_n2,TRUE,4,0,1.4,1.34,0.04,1.41
byte_cursor_read_be32_2,TRUE,2,0,0.08,0.05,0.02,0.09
byte_cursor_from_buf2,TRUE,0,0,0.07,0.03,0.03,0.07
byte_cursor_eq_c_str2,TRUE,0,11,0.1,0.08,0.02,0.11
byte_cursor_read_be64_2,TRUE,2,0,0.15,0.11,0.02,0.17
byte_cursor_eq2,TRUE,0,12,0.52,0.44,0.06,0.53
array_list_erase2,TRUE,8,0,2.06,1.99,0.05,2.06
byte_cursor_advance_nospec2,TRUE,0,0,0.1,0.07,0.02,0.11
byte_cursor_left_trim_pred2,TRUE,0,0,0.07,0.03,0.03,0.09
byte_cursor_read_be16_2,TRUE,2,0,0.08,0.05,0.02,0.09
byte_cursor_eq_byte_buf_ignore_case2,TRUE,0,10,0.58,0.48,0.07,0.6
byte_cursor_trim_pred2,TRUE,10,1,0.26,0.17,0.06,0.26
byte_cursor_eq_c_str_ignore_case2,TRUE,0,11,0.1,0.08,0.01,0.11
byte_cursor_satisfies_pred2,TRUE,0,0,0.06,0.03,0.02,0.06
byte_cursor_right_trim_pred2,TRUE,0,11,0.09,0.03,0.04,0.1
byte_cursor_eq_byte_buf2,TRUE,0,12,0.29,0.19,0.08,0.31
byte_cursor_compare_lookup2,TRUE,60,66,0.91,0.64,0.19,0.94
byte_cursor_read_and_fill_buffer2,TRUE,2,2,0.24,0.17,0.04,0.26
hash_table_get_entry_count2,TRUE,0,44,0.14,0.03,0.07,0.16
byte_cursor_compare_lexical2,TRUE,0,28,0.47,0.36,0.08,0.48
byte_cursor_eq_ignore_case2,TRUE,0,10,0.65,0.57,0.05,0.66
byte_buf_write_from_whole_string2,TRUE,24,3,2.72,2.59,0.05,2.74
hash_iter_done2,TRUE,3,81,0.67,0.12,0.33,0.73
hash_iter_begin2,TRUE,35,69,0.92,0.32,0.46,0.95
hash_iter_begin_done2,TRUE,67,104,1.24,0.4,0.62,1.3
hash_iter_next2,TRUE,12,81,1.33,0.72,0.39,1.37
ring_buffer_acquire2,TRUE,0,0,3.46,3.22,0.19,3.5
hash_table_find2,TRUE,69,107,4.27,3.29,0.7,4.32
hash_table_eq,TRUE,576,521,26.89,11.92,8.11,27.26
ring_buffer_release2,TRUE,0,0,6.48,6.34,0.1,6.5
ring_buffer_acquire_up_to2,TRUE,0,0,7.82,7.55,0.21,7.85
ring_buffer_buf_belongs_to_pool2,TRUE,0,0,12.2,12.07,0.1,12.22
