job_name,result,crab.isderef.not.solve,crab.isderef.solve,bmc_time,bmc_solve_time,crab_time,seahorn_total_time
byte_buf_reset,TRUE,0,2,0.17,0.15,0.01,0.18
byte_buf_write,TRUE,4,3,0.18,0.13,0.03,0.19
byte_buf_write_be64,TRUE,2,3,0.07,0.04,0.02,0.08
byte_buf_write_be16,TRUE,2,3,0.07,0.03,0.02,0.08
byte_buf_write_be32,TRUE,2,3,0.07,0.04,0.02,0.08
byte_buf_eq_ignore_case,TRUE,4,24,1.29,1.15,0.08,1.32
byte_buf_eq,TRUE,4,48,1.7,1.52,0.13,1.73
byte_buf_write_u8,TRUE,2,3,0.13,0.11,0.02,0.15
byte_buf_write_from_whole_cursor,TRUE,6,4,0.24,0.17,0.04,0.26
byte_buf_init_copy,TRUE,4,5,1.28,1.2,0.04,1.3
byte_buf_write_from_whole_buffer,TRUE,6,4,0.24,0.17,0.04,0.26
byte_cursor_advance_nospec,TRUE,2,1,0.19,0.15,0.02,0.2
byte_cursor_advance,TRUE,2,1,0.1,0.08,0.02,0.11
array_list_comparator_string,TRUE,24,33,5.02,4.81,0.14,5.03
byte_cursor_from_array,TRUE,0,0,0.03,0.01,0.01,0.03
byte_cursor_eq_c_str,TRUE,0,11,0.1,0.08,0.01,0.1
byte_cursor_eq_c_str_ignore_case,TRUE,0,11,0.1,0.08,0.01,0.1
byte_cursor_compare_lexical,TRUE,4,14,0.71,0.64,0.05,0.73
byte_cursor_from_buf,TRUE,2,1,0.06,0.03,0.02,0.07
byte_cursor_eq_byte_buf,TRUE,4,14,0.41,0.33,0.06,0.42
byte_cursor_eq,TRUE,4,14,0.71,0.65,0.04,0.73
byte_cursor_from_string,TRUE,2,11,0.05,0.03,0.01,0.06
byte_cursor_from_c_str,TRUE,0,33,0.19,0.16,0.02,0.2
byte_cursor_left_trim_pred,TRUE,2,1,0.07,0.03,0.02,0.08
byte_cursor_read_be16,TRUE,2,1,0.09,0.05,0.02,0.09
byte_cursor_read,TRUE,4,3,0.3,0.26,0.02,0.31
byte_cursor_compare_lookup,TRUE,64,68,1.23,1.06,0.12,1.26
byte_cursor_eq_byte_buf_ignore_case,TRUE,4,12,1.04,0.94,0.06,1.06
byte_cursor_read_and_fill_buffer,TRUE,4,4,0.39,0.33,0.04,0.41
byte_cursor_eq_ignore_case,TRUE,4,12,1.07,0.98,0.05,1.08
byte_cursor_read_be64,TRUE,2,1,0.13,0.09,0.02,0.14
byte_cursor_read_be32,TRUE,2,1,0.1,0.06,0.02,0.11
byte_cursor_read_u8,TRUE,2,3,0.12,0.09,0.02,0.13
byte_cursor_right_trim_pred,TRUE,2,12,0.08,0.03,0.03,0.09
byte_cursor_satisfies_pred,TRUE,2,1,0.06,0.03,0.02,0.07
hash_ptr,TRUE,0,0,0.02,0.01,0.01,0.03
byte_cursor_trim_pred,TRUE,12,2,0.25,0.17,0.05,0.27
hash_array_ignore_case,TRUE,9,2,0.04,0.03,0.01,0.05
hash_byte_cursor_ptr_ignore_case,TRUE,0,0,0.03,0.02,0.01,0.04
hash_string,TRUE,24,6,0.31,0.26,0.04,0.32
hash_callback_string_destroy,TRUE,1,7,0.05,0.04,0.01,0.06
byte_buf_write_from_whole_string,TRUE,26,4,2.8,2.65,0.05,2.82
hash_byte_cursor_ptr,TRUE,0,21,0.26,0.23,0.02,0.27
hash_c_string,TRUE,3,54,0.69,0.65,0.03,0.71
hash_table_get_entry_count,TRUE,0,48,0.15,0.07,0.04,0.17
hash_table_move,TRUE,0,46,0.15,0.07,0.04,0.16
hash_iter_done,TRUE,6,82,0.56,0.22,0.21,0.59
hash_iter_begin,TRUE,34,74,1.4,0.96,0.3,1.45
hash_table_swap,TRUE,0,92,0.92,0.7,0.11,0.95
hash_iter_next,TRUE,15,82,1.63,1.22,0.26,1.68
hash_table_clean_up,TRUE,41,107,0.84,0.48,0.23,0.88
hash_table_clear,TRUE,41,130,0.97,0.54,0.29,1.02
hash_iter_begin_done,TRUE,66,109,1.87,1.27,0.42,1.94
hash_table_init_unbounded,TRUE,24,0,1.85,1.73,0.04,1.86
hash_callback_string_eq,TRUE,36,41,4.68,4.45,0.14,4.72
hash_table_init_bounded,TRUE,27,0,2.95,2.83,0.03,2.96
linked_list_begin,TRUE,6,15,0.87,0.76,0.06,0.89
linked_list_back,TRUE,6,15,0.98,0.87,0.06,1.01
linked_list_init,TRUE,0,0,0.02,0.01,0.01,0.03
hash_callback_c_str_eq,TRUE,0,82,6.7,6.62,0.04,6.71
linked_list_remove,TRUE,0,0,0.01,0.01,0.01,0.02
linked_list_end,TRUE,6,15,0.87,0.76,0.05,0.9
linked_list_prev,TRUE,0,0,0.02,0.01,0,0.02
linked_list_next,TRUE,0,0,0.02,0.01,0.01,0.02
linked_list_front,TRUE,10,23,1.12,0.98,0.07,1.15
linked_list_node_reset,TRUE,0,2,0.1,0.09,0.01,0.1
linked_list_push_back,TRUE,16,22,0.87,0.7,0.08,0.9
array_list_swap,TRUE,24,4,15.06,14.99,0.04,15.08
linked_list_pop_front,TRUE,32,22,1.83,1.58,0.13,1.87
linked_list_pop_back,TRUE,32,22,1.96,1.72,0.12,1.99
hash_table_find,TRUE,69,111,6.69,6.11,0.35,6.76
linked_list_insert_after,TRUE,0,0,0.01,0.01,0,0.02
linked_list_insert_before,TRUE,0,0,0.03,0.01,0.01,0.03
string_bytes,TRUE,2,7,0.11,0.1,0.01,0.12
hash_table_put,TRUE,93,89,6.98,6.09,0.55,7.06
hash_table_create,TRUE,109,87,8.49,7.49,0.53,8.57
linked_list_push_front,TRUE,21,22,1.8,1.56,0.14,1.84
linked_list_rbegin,TRUE,10,23,0.68,0.55,0.07,0.71
linked_list_rend,TRUE,6,17,0.88,0.76,0.07,0.91
string_eq_byte_buf_ignore_case,TRUE,21,15,2.03,1.9,0.07,2.04
string_eq_byte_cursor,TRUE,24,20,2,1.92,0.05,2.02
string_eq_byte_buf,TRUE,23,20,2.28,2.18,0.07,2.3
string_compare,TRUE,43,6,3.59,3.5,0.05,3.61
string_eq_c_str,TRUE,10,54,2.66,2.59,0.04,2.68
string_new_from_array,TRUE,0,20,0.69,0.65,0.02,0.69
string_eq,TRUE,47,6,3.63,3.53,0.05,3.64
string_new_from_c_str,TRUE,0,53,0.18,0.14,0.02,0.19
string_destroy,TRUE,2,3,0.07,0.06,0.01,0.08
string_destroy_secure,TRUE,2,7,0.1,0.08,0.01,0.11
string_eq_byte_cursor_ignore_case,TRUE,21,27,3.69,3.59,0.05,3.71
string_new_from_string,TRUE,16,20,0.52,0.47,0.03,0.53
string_eq_ignore_case,TRUE,52,6,1.92,1.75,0.08,1.95
priority_queue_size,TRUE,0,6,0.53,0.45,0.05,0.55
priority_queue_init_static,TRUE,0,0,0.38,0.37,0.01,0.39
priority_queue_capacity,TRUE,0,6,0.58,0.48,0.07,0.6
priority_queue_clean_up,TRUE,0,1,0.04,0.01,0.03,0.05
priority_queue_init_dynamic,TRUE,0,0,0.38,0.36,0.01,0.39
string_eq_c_str_ignore_case,TRUE,9,54,2.56,2.49,0.03,2.58
priority_queue_top,TRUE,0,6,0.62,0.52,0.07,0.64
ring_buffer_clean_up,TRUE,0,0,0.14,0.12,0.01,0.15
ring_buffer_init,TRUE,0,0,0.31,0.28,0.02,0.32
array_eq_c_str_ignore_case2,TRUE,0,11,0.08,0.07,0.01,0.09
array_list_back2,TRUE,2,2,0.23,0.2,0.02,0.24
array_list_capacity2,TRUE,0,0,0.22,0.2,0.01,0.22
array_eq_ignore_case2,TRUE,0,22,0.64,0.56,0.04,0.65
array_eq_c_str2,TRUE,0,51,0.71,0.66,0.03,0.73
array_list_front2,TRUE,2,2,0.24,0.22,0.01,0.26
array_eq2,TRUE,0,46,1.15,1.09,0.03,1.16
array_list_get_at_ptr2,TRUE,0,0,0.26,0.24,0.02,0.27
array_list_ensure_capacity2,TRUE,0,4,0.84,0.8,0.02,0.85
array_list_get_at2,TRUE,2,2,0.44,0.4,0.03,0.45
array_list_length2,TRUE,0,0,0.22,0.2,0.01,0.23
array_list_init_static2,TRUE,0,0,0.36,0.35,0.01,0.37
hash_table_foreach,TRUE,0,75,15.73,12.7,0.97,15.87
array_list_pop_back2,TRUE,0,0,0.63,0.6,0.02,0.64
array_list_push_back2,TRUE,2,6,0.3,0.25,0.04,0.31
array_list_sort2,TRUE,0,0,0.21,0.19,0.01,0.22
array_list_pop_front2,TRUE,4,0,0.87,0.83,0.02,0.88
byte_buf_advance2,TRUE,0,0,0.09,0.05,0.03,0.11
byte_buf_append2,TRUE,2,2,0.08,0.04,0.02,0.09
byte_buf_append_dynamic2,TRUE,6,6,0.26,0.21,0.03,0.27
byte_buf_append_with_lookup2,TRUE,20,0,0.2,0.09,0.07,0.22
byte_buf_eq_c_str2,TRUE,0,11,0.09,0.07,0.01,0.1
byte_buf_eq_c_str_ignore_case2,TRUE,0,11,0.11,0.09,0.01,0.12
array_list_set_at2,TRUE,2,6,1.35,1.27,0.04,1.37
byte_buf_eq2,TRUE,0,46,1.21,1.11,0.07,1.24
array_list_shrink_to_fit2,TRUE,6,2,1.56,1.5,0.03,1.57
byte_buf_cat2,TRUE,6,6,0.78,0.64,0.08,0.81
byte_buf_write_be162,TRUE,0,2,0.05,0.03,0.02,0.06
byte_buf_write2,TRUE,2,3,0.15,0.1,0.03,0.16
byte_buf_eq_ignore_case2,TRUE,0,22,0.67,0.56,0.07,0.69
array_list_clear2,TRUE,0,0,0.56,0.54,0.02,0.56
linked_list_swap_contents,TRUE,37,95,9.94,8.6,0.46,10.07
hash_table_remove,TRUE,51,105,17.44,16.75,0.32,17.49
byte_buf_init_copy2,TRUE,2,5,0.99,0.91,0.04,1.01
byte_buf_write_be322,TRUE,0,2,0.05,0.02,0.02,0.06
byte_buf_write_be642,TRUE,0,3,0.06,0.03,0.02,0.07
byte_buf_write_from_whole_cursor2,TRUE,2,2,0.12,0.09,0.02,0.13
byte_buf_write_from_whole_buffer2,TRUE,2,2,0.16,0.11,0.02,0.17
byte_buf_write_u82,TRUE,0,2,0.12,0.09,0.02,0.13
byte_cursor_advance2,TRUE,0,0,0.04,0.02,0.01,0.05
byte_cursor_read_u8_2,TRUE,2,2,0.08,0.05,0.01,0.08
byte_cursor_read2,TRUE,2,2,0.14,0.1,0.02,0.14
byte_cursor_from_buf2,TRUE,0,0,0.05,0.03,0.02,0.06
array_list_pop_front_n2,TRUE,4,0,1.48,1.44,0.02,1.5
byte_cursor_read_be32_2,TRUE,2,0,0.09,0.06,0.01,0.09
byte_cursor_eq_c_str2,TRUE,0,11,0.09,0.07,0.01,0.09
byte_cursor_eq2,TRUE,0,12,0.45,0.4,0.03,0.45
byte_cursor_read_be64_2,TRUE,2,0,0.14,0.1,0.01,0.14
byte_cursor_left_trim_pred2,TRUE,0,0,0.06,0.03,0.02,0.07
byte_cursor_advance_nospec2,TRUE,0,0,0.1,0.07,0.02,0.1
byte_cursor_trim_pred2,TRUE,10,1,0.24,0.17,0.04,0.25
array_list_erase2,TRUE,8,0,2.12,2.07,0.03,2.14
byte_cursor_eq_byte_buf_ignore_case2,TRUE,0,10,0.53,0.46,0.04,0.55
byte_cursor_read_be16_2,TRUE,2,0,0.08,0.05,0.02,0.09
byte_cursor_eq_c_str_ignore_case2,TRUE,0,11,0.1,0.08,0.01,0.11
hash_iter_delete,TRUE,11,78,21.89,21.33,0.32,21.93
byte_cursor_right_trim_pred2,TRUE,0,11,0.07,0.03,0.02,0.07
byte_cursor_satisfies_pred2,TRUE,0,0,0.05,0.02,0.02,0.05
byte_cursor_eq_byte_buf2,TRUE,0,12,0.28,0.21,0.05,0.3
byte_cursor_compare_lookup2,TRUE,60,66,0.8,0.62,0.12,0.83
byte_cursor_read_and_fill_buffer2,TRUE,2,2,0.24,0.18,0.03,0.25
hash_table_get_entry_count2,TRUE,0,44,0.13,0.03,0.05,0.14
byte_cursor_compare_lexical2,TRUE,0,28,0.42,0.36,0.05,0.43
byte_cursor_eq_ignore_case2,TRUE,0,10,0.63,0.58,0.02,0.63
hash_iter_done2,TRUE,3,81,0.55,0.11,0.27,0.59
byte_buf_write_from_whole_string2,TRUE,24,3,2.67,2.54,0.04,2.68
hash_iter_begin2,TRUE,35,69,0.77,0.31,0.33,0.81
hash_iter_next2,TRUE,12,81,0.99,0.49,0.32,1.03
hash_iter_begin_done2,TRUE,67,104,0.95,0.39,0.41,1.01
ring_buffer_acquire2,TRUE,0,0,3.22,2.97,0.21,3.26
hash_table_find2,TRUE,69,107,3.42,2.54,0.62,3.47
hash_table_eq,TRUE,576,521,24.06,11.93,5.98,24.44
ring_buffer_release2,TRUE,0,0,6.27,6.13,0.1,6.29
ring_buffer_acquire_up_to2,TRUE,0,0,7.53,7.27,0.21,7.57
ring_buffer_buf_belongs_to_pool2,TRUE,0,0,11.74,11.66,0.06,11.76
